Robot,X,Y
2,-1.521666,-1.875415
2,-1.521666,-1.875415
2,-1.521666,-1.875415
2,-1.511131,-1.862858
2,-1.511131,-1.862858
2,-1.511131,-1.862858
2,-1.511131,-1.862858
2,-1.511131,-1.862858
2,-1.519321,-1.872817
2,-1.519321,-1.872817
2,-1.519321,-1.872817
2,-1.511612,-1.86301
2,-1.511612,-1.86301
2,-1.511612,-1.86301
2,-1.517588,-1.870905
2,-1.517588,-1.870905
2,-1.517588,-1.870905
2,-1.51854,-1.871412
2,-1.51854,-1.871412
2,-1.51854,-1.871412
2,-1.521127,-1.875039
2,-1.521127,-1.875039
2,-1.521127,-1.875039
2,-1.515755,-1.868185
2,-1.515755,-1.868185
2,-1.515755,-1.868185
2,-1.521587,-1.875529
2,-1.521587,-1.875529
2,-1.521587,-1.875529
2,-1.509673,-1.860749
2,-1.509673,-1.860749
2,-1.509673,-1.860749
2,-1.513533,-1.86537
2,-1.513533,-1.86537
2,-1.513533,-1.86537
2,-1.513533,-1.86537
2,-1.513533,-1.86537
2,-1.513533,-1.86537
2,-1.541501,-1.899625
2,-1.551883,-1.91187
2,-1.547592,-1.90683
2,-1.547592,-1.90683
2,-1.524371,-1.87837
2,-1.524371,-1.87837
2,-1.524371,-1.87837
2,-1.521895,-1.875523
2,-1.521895,-1.875523
2,-1.521895,-1.875523
2,-1.524854,-1.879043
2,-1.524854,-1.879043
2,-1.524854,-1.879043
2,-1.528725,-1.883745
2,-1.528725,-1.883745
2,-1.528725,-1.883745
2,-1.540254,-1.89795
2,-1.540254,-1.89795
2,-1.540254,-1.89795
2,-1.540254,-1.89795
2,-1.521031,-1.8744
2,-1.521031,-1.8744
2,-1.521031,-1.8744
2,-1.524768,-1.878947
2,-1.524768,-1.878947
2,-1.524768,-1.878947
2,-1.524768,-1.878947
2,-1.524768,-1.878947
2,-1.50977,-1.860387
2,-1.50977,-1.860387
2,-1.50977,-1.860387
2,-1.513104,-1.864938
2,-1.513104,-1.864938
2,-1.513104,-1.864938
2,-1.509522,-1.860485
2,-1.509522,-1.860485
2,-1.509522,-1.860485
2,-1.515053,-1.86721
2,-1.515053,-1.86721
2,-1.515053,-1.86721
2,-1.518981,-1.872627
2,-1.518981,-1.872627
2,-1.518981,-1.872627
2,-1.518981,-1.872627
2,-1.518981,-1.872627
2,-1.518981,-1.872627
2,-1.515895,-1.868016
2,-1.515895,-1.868016
2,-1.515895,-1.868016
2,-1.521194,-1.874918
2,-1.521194,-1.874918
2,-1.521194,-1.874918
2,-1.521194,-1.874918
2,-1.521194,-1.874918
2,-1.521194,-1.874918
2,-1.517519,-1.870381
2,-1.517519,-1.870381
2,-1.517519,-1.870381
2,-1.515485,-1.867646
2,-1.515485,-1.867646
2,-1.510844,-1.862075
2,-1.510844,-1.862075
2,-1.510844,-1.862075
2,-1.510844,-1.862075
2,-1.510844,-1.862075
2,-1.521127,-1.875039
2,-1.521127,-1.875039
2,-1.521127,-1.875039
2,-1.521127,-1.875039
2,-1.511119,-1.862687
2,-1.511119,-1.862687
2,-1.51334,-1.865501
2,-1.51334,-1.865501
2,-1.51334,-1.865501
2,-1.515894,-1.868649
2,-1.515485,-1.867646
2,-1.517964,-1.870996
2,-1.517964,-1.870996
2,-1.517964,-1.870996
2,-1.508865,-1.85998
2,-1.508865,-1.85998
2,-1.508865,-1.85998
2,-1.517689,-1.870651
2,-1.517689,-1.870651
2,-1.517689,-1.870651
2,-1.514139,-1.866342
2,-1.514139,-1.866342
2,-1.514139,-1.866342
2,-1.519257,-1.872291
2,-1.519257,-1.872291
2,-1.519257,-1.872291
2,-1.517501,-1.870423
2,-1.517501,-1.870423
2,-1.517501,-1.870423
2,-1.51917,-1.872421
2,-1.51917,-1.872421
2,-1.51917,-1.872421
2,-1.51917,-1.872421
2,-1.51917,-1.872421
2,-1.51917,-1.872421
2,-1.520851,-1.874648
2,-1.520851,-1.874648
2,-1.520851,-1.874648
2,-1.51917,-1.872421
2,-1.51917,-1.872421
2,-1.515792,-1.868319
2,-1.515792,-1.868319
2,-1.518341,-1.871291
2,-1.518341,-1.871291
2,-1.518341,-1.871291
2,-1.52406,-1.878065
2,-1.52406,-1.878065
2,-1.52406,-1.878065
2,-1.513195,-1.865263
2,-1.513195,-1.865263
2,-1.513195,-1.865263
2,-1.519199,-1.872588
2,-1.519199,-1.872588
2,-1.519199,-1.872588
2,-1.519199,-1.872588
2,-1.523125,-1.877372
2,-1.523125,-1.877372
2,-1.517388,-1.870352
2,-1.524708,-1.879865
2,-1.524708,-1.879865
2,-1.524708,-1.879865
2,-1.523705,-1.878537
2,-1.523705,-1.878537
2,-1.520556,-1.874438
2,-1.518897,-1.871809
2,-1.518897,-1.871809
2,-1.518897,-1.871809
2,-1.518897,-1.871809
2,-1.518897,-1.871809
2,-1.526208,-1.881617
2,-1.528041,-1.884036
2,-1.528041,-1.884036
2,-1.528041,-1.884036
2,-1.525953,-1.880702
2,-1.525953,-1.880702
2,-1.52418,-1.878591
2,-1.52418,-1.878591
2,-1.511825,-1.863225
2,-1.518481,-1.871438
2,-1.518481,-1.871438
2,-1.518481,-1.871438
2,-1.518481,-1.871438
2,-1.518481,-1.871438
2,-1.518481,-1.871438
2,-1.514546,-1.866659
2,-1.516902,-1.869479
2,-1.516902,-1.869479
2,-1.516902,-1.869479
2,-1.516902,-1.869479
2,-1.516902,-1.869479
2,-1.516902,-1.869479
2,-1.537625,-1.894797
2,-1.537625,-1.894797
2,-1.537625,-1.894797
2,-1.537625,-1.894797
2,-1.537625,-1.894797
2,-1.537625,-1.894797
2,-1.516203,-1.868409
2,-1.516203,-1.868409
2,-1.516203,-1.868409
2,-1.516203,-1.868409
2,-1.516203,-1.868409
2,-1.516203,-1.868409
2,-1.516203,-1.868409
2,-1.516203,-1.868409
2,-1.526418,-1.881891
2,-1.526418,-1.881891
2,-1.526418,-1.881891
2,-1.52182,-1.875845
2,-1.52182,-1.875845
2,-1.52182,-1.875845
2,-1.51527,-1.867859
2,-1.51527,-1.867859
2,-1.51527,-1.867859
2,-1.522154,-1.87668
2,-1.522154,-1.87668
2,-1.522154,-1.87668
2,-1.522154,-1.87668
2,-1.522154,-1.87668
2,-1.516378,-1.869002
2,-1.518148,-1.871679
2,-1.518148,-1.871679
2,-1.51585,-1.868493
2,-1.51585,-1.868493
2,-1.51585,-1.868493
2,-1.517698,-1.870976
2,-1.51729,-1.870326
2,-1.51729,-1.870326
2,-1.51729,-1.870326
2,-1.523253,-1.877243
2,-1.523253,-1.877243
2,-1.523253,-1.877243
2,-1.523253,-1.877243
2,-1.523253,-1.877243
2,-1.521164,-1.875247
2,-1.521164,-1.875247
2,-1.516325,-1.869002
2,-1.516325,-1.869002
2,-1.516325,-1.869002
2,-1.516325,-1.869002
2,-1.516325,-1.869002
2,-1.516325,-1.869002
2,-1.524088,-1.878561
2,-1.508006,-1.858775
2,-1.508006,-1.858775
2,-1.508006,-1.858775
2,-1.508006,-1.858775
2,-1.508006,-1.858775
2,-1.508006,-1.858775
2,-1.508006,-1.858775
2,-1.508006,-1.858775
2,-1.516153,-1.868775
2,-1.516153,-1.868775
2,-1.516153,-1.868775
2,-1.526262,-1.881334
2,-1.526262,-1.881334
2,-1.526262,-1.881334
2,-1.517785,-1.870861
2,-1.517785,-1.870861
2,-1.517785,-1.870861
2,-1.517785,-1.870861
2,-1.517785,-1.870861
2,-1.517785,-1.870861
2,-1.517785,-1.870861
2,-1.517785,-1.870861
2,-1.517785,-1.870861
2,-1.521326,-1.875159
2,-1.521326,-1.875159
2,-1.521326,-1.875159
0,-0.714262,-1.249934
0,-0.714262,-1.249934
0,-0.714262,-1.249934
0,-0.73344,-1.284804
0,-0.73344,-1.284804
0,-0.718593,-1.257879
0,-0.718593,-1.257879
0,-0.718593,-1.257879
0,-0.718282,-1.256696
0,-0.718282,-1.256696
0,-0.718282,-1.256696
0,-0.718195,-1.256765
0,-0.718195,-1.256765
0,-0.718195,-1.256765
0,-0.728547,-1.275629
0,-0.728547,-1.275629
0,-0.728547,-1.275629
0,-0.732442,-1.282733
0,-0.732442,-1.282733
0,-0.732442,-1.282733
0,-0.729575,-1.27805
0,-0.729575,-1.27805
0,-0.729575,-1.27805
0,-0.731299,-1.280726
0,-0.731299,-1.280726
0,-0.731299,-1.280726
0,-0.729797,-1.278326
0,-0.729797,-1.278326
0,-0.729797,-1.278326
0,-0.732484,-1.282211
0,-0.732484,-1.282211
0,-0.732484,-1.282211
0,-0.733208,-1.283908
