Robot,Tiempo,w_left,w_right,pwm_left,pwm_right
RobotAgent1,100,0.0,0.0,171,172
RobotAgent1,200,6.159985595274104,10.833078115826872,171,172
RobotAgent1,300,19.634954084936208,18.47995678582231,170,171
RobotAgent1,400,24.1660973353061,24.1660973353061,169,170
RobotAgent1,500,14.279966607226331,24.1660973353061,169,169
RobotAgent1,600,19.634954084936208,24.1660973353061,168,168
RobotAgent1,700,24.1660973353061,22.43994752564138,167,167
RobotAgent1,800,16.534698176788382,18.47995678582231,166,166
RobotAgent1,900,14.959965017094255,15.707963267948966,166,165
RobotAgent1,1000,24.1660973353061,17.453292519943293,165,164
RobotAgent1,1100,19.634954084936208,15.707963267948966,164,163
RobotAgent1,1200,20.943951023931955,19.634954084936208,163,162
RobotAgent1,1300,16.534698176788382,19.634954084936208,162,161
RobotAgent1,1400,19.634954084936208,16.534698176788382,161,160
RobotAgent1,1500,24.1660973353061,18.47995678582231,160,159
RobotAgent1,1600,20.943951023931955,13.659098493868665,159,159
RobotAgent1,1700,24.1660973353061,17.453292519943293,158,158
RobotAgent1,1800,24.1660973353061,14.959965017094255,157,158
RobotAgent1,1900,20.943951023931955,16.534698176788382,156,157
RobotAgent1,2000,14.279966607226331,16.534698176788382,156,156
RobotAgent1,2100,17.453292519943293,12.566370614359172,155,156
RobotAgent1,2200,17.453292519943293,13.089969389957473,154,156
RobotAgent1,2300,20.943951023931955,16.534698176788382,153,155
RobotAgent1,2400,14.959965017094255,14.279966607226331,153,155
RobotAgent1,2500,18.47995678582231,13.089969389957473,152,155
RobotAgent1,2600,20.943951023931955,14.959965017094255,151,155
RobotAgent1,2700,12.08304866765305,15.707963267948966,151,154
RobotAgent1,2800,12.08304866765305,12.566370614359172,151,154
RobotAgent1,2900,10.833078115826872,11.635528346628863,151,154
RobotAgent1,3000,14.959965017094255,9.817477042468104,151,255
RobotAgent1,3100,11.21997376282069,22.43994752564138,151,254
RobotAgent1,3200,9.519977738150889,14.279966607226331,255,254
RobotAgent1,3300,14.959965017094255,15.707963267948966,255,253
RobotAgent1,3400,16.534698176788382,14.959965017094255,254,253
RobotAgent1,3500,16.534698176788382,16.534698176788382,253,252
RobotAgent1,3600,16.534698176788382,15.707963267948966,252,251
RobotAgent1,3700,15.707963267948966,14.959965017094255,251,251
RobotAgent1,3800,16.534698176788382,14.279966607226331,250,251
RobotAgent1,3900,18.47995678582231,15.707963267948966,249,250
RobotAgent1,4000,18.47995678582231,15.707963267948966,248,249
RobotAgent1,4100,16.534698176788382,15.707963267948966,247,248
RobotAgent1,4200,18.47995678582231,15.707963267948966,246,247
RobotAgent1,4300,18.47995678582231,14.959965017094255,245,247
RobotAgent1,4400,15.707963267948966,24.1660973353061,244,246
RobotAgent1,4500,16.534698176788382,14.959965017094255,243,246
RobotAgent1,4600,8.975979010256552,5.416539057913436,243,246
RobotAgent1,4700,15.707963267948966,14.959965017094255,242,246
RobotAgent1,4800,15.707963267948966,14.959965017094255,241,246
RobotAgent1,4900,14.959965017094255,14.959965017094255,0,0
RobotAgent1,5000,18.47995678582231,12.566370614359172,0,0
RobotAgent1,5100,13.659098493868665,8.975979010256552,0,0
RobotAgent1,5200,0.0,0.0,0,0
RobotAgent1,5300,1.4477385500413793,0.0,0,0
RobotAgent1,5400,0.0,0.0,0,0
