Robot,X,Y
2,-1.675457,-1.958871
2,-1.675457,-1.958871
2,-1.675457,-1.958871
2,-1.681584,-1.966107
2,-1.681584,-1.966107
2,-1.681584,-1.966107
2,-1.681584,-1.966107
2,-1.674303,-1.957629
2,-1.674303,-1.957629
2,-1.674303,-1.957629
2,-1.672645,-1.955606
2,-1.672645,-1.955606
2,-1.672645,-1.955606
2,-1.676461,-1.95959
2,-1.676461,-1.95959
2,-1.676461,-1.95959
2,-1.67202,-1.954908
2,-1.67202,-1.954908
2,-1.67202,-1.954908
2,-1.67271,-1.955748
2,-1.67271,-1.955748
2,-1.67271,-1.955748
2,-1.677165,-1.960883
2,-1.677165,-1.960883
2,-1.677165,-1.960883
2,-1.674409,-1.957307
2,-1.674409,-1.957307
2,-1.674409,-1.957307
2,-1.665993,-1.948203
2,-1.665993,-1.948203
2,-1.665993,-1.948203
2,-1.674959,-1.958008
2,-1.674959,-1.958008
2,-1.674959,-1.958008
2,-1.670015,-1.953063
2,-1.670015,-1.953063
2,-1.670015,-1.953063
2,-1.673795,-1.956844
2,-1.673795,-1.956844
2,-1.673795,-1.956844
2,-1.669392,-1.951664
2,-1.669392,-1.951664
2,-1.669392,-1.951664
2,-1.678385,-1.961923
2,-1.678385,-1.961923
2,-1.678385,-1.961923
2,-1.670627,-1.952935
2,-1.670627,-1.952935
2,-1.670627,-1.952935
2,-1.671937,-1.954628
2,-1.671937,-1.954628
2,-1.671937,-1.954628
2,-1.670627,-1.952935
2,-1.670627,-1.952935
2,-1.670627,-1.952935
2,-1.676614,-1.960048
2,-1.676614,-1.960048
2,-1.676614,-1.960048
2,-1.672888,-1.956015
2,-1.672888,-1.956015
2,-1.672888,-1.956015
2,-1.67903,-1.962824
2,-1.67903,-1.962824
2,-1.67903,-1.962824
2,-1.674176,-1.957662
2,-1.674176,-1.957662
2,-1.674176,-1.957662
2,-1.671909,-1.954515
2,-1.671909,-1.954515
2,-1.671909,-1.954515
2,-1.671981,-1.954439
2,-1.671981,-1.954439
2,-1.671981,-1.954439
2,-1.67202,-1.954908
2,-1.67202,-1.954908
2,-1.671815,-1.954889
2,-1.671815,-1.954889
2,-1.671815,-1.954889
2,-1.662925,-1.944437
2,-1.662925,-1.944437
2,-1.662925,-1.944437
2,-1.671627,-1.954567
2,-1.671627,-1.954567
2,-1.671627,-1.954567
2,-1.671627,-1.954567
2,-1.671627,-1.954567
2,-1.671627,-1.954567
2,-1.671627,-1.954567
2,-1.679534,-1.963605
2,-1.679534,-1.963605
2,-1.679534,-1.963605
2,-1.65867,-1.938655
2,-1.65867,-1.938655
2,-1.670495,-1.953562
2,-1.670495,-1.953562
2,-1.670495,-1.953562
2,-1.670495,-1.953562
2,-1.670495,-1.953562
2,-1.65087,-1.930464
2,-1.65087,-1.930464
2,-1.652867,-1.93288
2,-1.652867,-1.93288
2,-1.652867,-1.93288
2,-1.651099,-1.930814
2,-1.651099,-1.930814
2,-1.651099,-1.930814
2,-1.665495,-1.948094
2,-1.665495,-1.948094
2,-1.665495,-1.948094
2,-1.658422,-1.939251
2,-1.658422,-1.939251
2,-1.658422,-1.939251
2,-1.657474,-1.938402
2,-1.657474,-1.938402
2,-1.657474,-1.938402
2,-1.662382,-1.944209
2,-1.662382,-1.944209
2,-1.662382,-1.944209
2,-1.652555,-1.932186
2,-1.652555,-1.932186
2,-1.652555,-1.932186
2,-1.649618,-1.929167
2,-1.649618,-1.929167
2,-1.649618,-1.929167
2,-1.66041,-1.942179
2,-1.66041,-1.942179
2,-1.66041,-1.942179
2,-1.657392,-1.93836
2,-1.657392,-1.93836
2,-1.657392,-1.93836
2,-1.659929,-1.941248
2,-1.659929,-1.941248
2,-1.659929,-1.941248
2,-1.648121,-1.927358
2,-1.648121,-1.927358
2,-1.648121,-1.927358
2,-1.648163,-1.927255
0,-2.400484,-1.434188
0,-2.400484,-1.434188
0,-2.400484,-1.434188
0,-2.400484,-1.434188
0,-2.400174,-1.433597
0,-2.400174,-1.433597
0,-2.400174,-1.433597
0,-2.39217,-1.428652
0,-2.39217,-1.428652
