Robot,X,Y
2,-1.731146,-1.922702
2,-1.731146,-1.922702
2,-1.731146,-1.922702
2,-1.74749,-1.938969
2,-1.74749,-1.938969
2,-1.733571,-1.925701
2,-1.733571,-1.925701
2,-1.733571,-1.925701
2,-1.723677,-1.914636
2,-1.723677,-1.914636
2,-1.726071,-1.917613
2,-1.726071,-1.917613
2,-1.726071,-1.917613
2,-1.726071,-1.917613
2,-1.726071,-1.917613
2,-1.726071,-1.917613
2,-1.726071,-1.917613
2,-1.726071,-1.917613
2,-1.726045,-1.917367
2,-1.726045,-1.917367
2,-1.726045,-1.917367
2,-1.733571,-1.925701
2,-1.733571,-1.925701
2,-1.733571,-1.925701
2,-1.733571,-1.925701
2,-1.733571,-1.925701
2,-1.726045,-1.917367
2,-1.726045,-1.917367
2,-1.740031,-1.932648
2,-1.740031,-1.932648
2,-1.740031,-1.932648
2,-1.740031,-1.932648
2,-1.721765,-1.91241
2,-1.721765,-1.91241
2,-1.725538,-1.91621
2,-1.725538,-1.91621
2,-1.725538,-1.91621
2,-1.725385,-1.915936
2,-1.725385,-1.915936
2,-1.733571,-1.925701
2,-1.717558,-1.907918
2,-1.717558,-1.907918
2,-1.717558,-1.907918
2,-1.717558,-1.907918
2,-1.706794,-1.895609
2,-1.706794,-1.895609
2,-1.706794,-1.895609
2,-1.75036,-1.942415
2,-1.721601,-1.9107
2,-1.6999,-1.887746
2,-1.716675,-1.906384
2,-1.716675,-1.906384
2,-1.716675,-1.906384
2,-1.716675,-1.906384
2,-1.716675,-1.906384
2,-1.716675,-1.906384
2,-1.716675,-1.906384
2,-1.716675,-1.906384
2,-1.716675,-1.906384
2,-1.720202,-1.909797
2,-1.707913,-1.896751
2,-1.696599,-1.883644
2,-1.696599,-1.883644
2,-1.712696,-1.901001
2,-1.712696,-1.901001
2,-1.704893,-1.893331
2,-1.704485,-1.892877
2,-1.711545,-1.899754
2,-1.711545,-1.899754
2,-1.713739,-1.902653
2,-1.713739,-1.902653
2,-1.69956,-1.887279
2,-1.69956,-1.887279
2,-1.69956,-1.887279
2,-1.69956,-1.887279
2,-1.69956,-1.887279
2,-1.69956,-1.887279
2,-1.69956,-1.887279
2,-1.708787,-1.897144
2,-1.708787,-1.897144
2,-1.708787,-1.897144
2,-1.708787,-1.897144
2,-1.709251,-1.898016
2,-1.713317,-1.902387
2,-1.713317,-1.902387
2,-1.710103,-1.898513
2,-1.710103,-1.898513
2,-1.706229,-1.894992
2,-1.708487,-1.896422
2,-1.71192,-1.900329
2,-1.701094,-1.888624
2,-1.7179,-1.906884
2,-1.7087,-1.897112
2,-1.719102,-1.908201
2,-1.709866,-1.897873
2,-1.709866,-1.897873
2,-1.709866,-1.897873
2,-1.69753,-1.884834
2,-1.69753,-1.884834
2,-1.69753,-1.884834
2,-1.710713,-1.900071
2,-1.717701,-1.906051
2,-1.715851,-1.904802
2,-1.715851,-1.904802
2,-1.703657,-1.891805
2,-1.695346,-1.882719
2,-1.695346,-1.882719
2,-1.693784,-1.881026
2,-1.693784,-1.881026
2,-1.697021,-1.884575
2,-1.708111,-1.896849
2,-1.732951,-1.923261
2,-1.732951,-1.923261
2,-1.732951,-1.923261
2,-1.732951,-1.923261
2,-1.732951,-1.923261
2,-1.732951,-1.923261
2,-1.7541,-1.946114
2,-1.715532,-1.904263
2,-1.695317,-1.88229
2,-1.695317,-1.88229
2,-1.72827,-1.918836
2,-1.921052,-2.131693
2,-1.707933,-1.896783
2,-1.707933,-1.896783
2,-1.745416,-1.936802
2,-1.690989,-1.8779
2,-1.690989,-1.8779
2,-1.708561,-1.897121
2,-1.708561,-1.897121
2,-1.708561,-1.897121
2,-1.711684,-1.89967
2,-1.711684,-1.89967
2,-1.703657,-1.891805
2,-1.703657,-1.891805
2,-1.703657,-1.891805
2,-1.703657,-1.891805
2,-1.6966,-1.883884
2,-1.701536,-1.888988
2,-1.701536,-1.888988
2,-1.701536,-1.888988
2,-1.704412,-1.892854
2,-1.704412,-1.892854
2,-1.704412,-1.892854
2,-1.719672,-1.908554
2,-1.719672,-1.908554
2,-1.704826,-1.892636
2,-1.704826,-1.892636
2,-1.704356,-1.892517
2,-1.704356,-1.892517
2,-1.721521,-1.911014
2,-1.721521,-1.911014
2,-1.721521,-1.911014
2,-1.721521,-1.911014
2,-1.706645,-1.894075
2,-1.706645,-1.894075
2,-1.6999,-1.887746
2,-1.717723,-1.906399
2,-1.717723,-1.906399
2,-1.717723,-1.906399
2,-1.697021,-1.884575
2,-1.697021,-1.884575
2,-1.697021,-1.884575
2,-1.699135,-1.886621
2,-1.688585,-1.875216
2,-1.688585,-1.875216
2,-1.712054,-1.900852
2,-1.697602,-1.88525
2,-1.702374,-1.890413
2,-1.702374,-1.890413
2,-1.702374,-1.890413
2,-1.702838,-1.891117
2,-1.715692,-1.904821
2,-1.715692,-1.904821
2,-1.708626,-1.896981
2,-1.708626,-1.896981
2,-1.708626,-1.896981
2,-1.712752,-1.901169
2,-1.710181,-1.899479
2,-1.705712,-1.894242
2,-1.716602,-1.905967
2,-1.716602,-1.905967
2,-1.708176,-1.896391
2,-1.708176,-1.896391
2,-1.732058,-1.922376
2,-1.732058,-1.922376
2,-1.695736,-1.882882
2,-1.695736,-1.882882
2,-1.695736,-1.882882
2,-1.695736,-1.882882
2,-1.921052,-2.131693
2,-1.921052,-2.131693
2,-1.697325,-1.884931
2,-1.718621,-1.908059
2,-1.718621,-1.908059
2,-1.718621,-1.908059
2,-1.718621,-1.908059
2,-1.745837,-1.936833
2,-1.704066,-1.892221
2,-1.704066,-1.892221
2,-1.704066,-1.892221
2,-1.698426,-1.88612
2,-1.698426,-1.88612
2,-1.698426,-1.88612
2,-1.698426,-1.88612
2,-1.698426,-1.88612
2,-1.698426,-1.88612
2,-1.713092,-1.901442
2,-1.713092,-1.901442
2,-1.717245,-1.905765
2,-1.717245,-1.905765
2,-1.717245,-1.905765
2,-1.717245,-1.905765
2,-1.717245,-1.905765
2,-1.690458,-1.876719
2,-1.690458,-1.876719
2,-1.698426,-1.88612
2,-1.691594,-1.87838
2,-1.695935,-1.88318
2,-1.685992,-1.87204
2,-1.68382,-1.869828
2,-1.68382,-1.869828
2,-1.68382,-1.869828
2,-1.68382,-1.869828
2,-1.68382,-1.869828
2,-1.688989,-1.875664
2,-1.705605,-1.893125
5,-0.656824,-1.232565
5,-0.656824,-1.232565
5,-0.656824,-1.232565
5,-0.660154,-1.238938
5,-0.660154,-1.238938
5,-0.65707,-1.233051
5,-0.65707,-1.233051
5,-0.65707,-1.233051
5,-0.65707,-1.233051
5,-0.65707,-1.233051
5,-0.654623,-1.228664
5,-0.654623,-1.228664
5,-0.654623,-1.228664
5,-0.649659,-1.21972
5,-0.649659,-1.21972
5,-0.649659,-1.21972
5,-0.652202,-1.224132
5,-0.652202,-1.224132
5,-0.652241,-1.224264
5,-0.669321,-1.237168
5,-0.669321,-1.237168
5,-0.718609,-1.317844
5,-0.718609,-1.317844
5,-0.718609,-1.317844
5,-0.663362,-1.211239
5,-0.663362,-1.211239
5,-0.664933,-1.218049
5,-0.664933,-1.218049
5,-0.653469,-1.240788
5,-0.653469,-1.240788
5,-0.651325,-1.265791
5,-0.651325,-1.265791
5,-0.651325,-1.265791
5,-0.651325,-1.265791
5,-0.974247,-1.461544
5,-0.974247,-1.461544
5,-0.974247,-1.461544
5,-0.974247,-1.461544
5,-0.974247,-1.461544
5,-0.974247,-1.461544
5,-0.974247,-1.461544
5,-0.974247,-1.461544
5,-0.974247,-1.461544
5,-0.974247,-1.461544
5,-1.444532,-2.021184
5,-1.444532,-2.021184
5,-1.444532,-2.021184
5,-1.444532,-2.021184
5,-1.444532,-2.021184
5,-1.444532,-2.021184
5,-1.444532,-2.021184
5,-1.444532,-2.021184
5,-1.507038,-2.187557
5,-1.510558,-2.192154
5,-1.515595,-2.199509
5,-1.508328,-2.188994
5,-1.504755,-2.184446
5,-1.510538,-2.19226
5,-1.510538,-2.19226
5,-1.510538,-2.19226
5,-1.510538,-2.19226
5,-1.510538,-2.19226
5,-1.510538,-2.19226
5,-1.509523,-2.191227
5,-1.509523,-2.191227
5,-1.509523,-2.191227
5,-1.509523,-2.191227
5,-1.509523,-2.191227
5,-1.509523,-2.191227
5,-1.507314,-2.187017
5,-1.507314,-2.187017
5,-1.507314,-2.187017
5,-1.507027,-2.187419
5,-1.507027,-2.187419
5,-1.507027,-2.187419
5,-1.509523,-2.191227
5,-1.509523,-2.191227
5,-1.509523,-2.191227
5,-1.509523,-2.191227
5,-1.511528,-2.193935
5,-1.511528,-2.193935
5,-1.511528,-2.193935
5,-1.511528,-2.193935
5,-1.511528,-2.193935
5,-1.511528,-2.193935
5,-1.511528,-2.193935
5,-1.511528,-2.193935
5,-1.511528,-2.193935
5,-1.511528,-2.193935
5,-1.511528,-2.193935
5,-1.511528,-2.193935
5,-1.511528,-2.193935
5,-1.511528,-2.193935
5,-1.511528,-2.193935
5,-1.50676,-2.187091
5,-1.50676,-2.187091
5,-1.50676,-2.187091
