Robot,X,Y
2,-1.589902,-1.819857
2,-1.589902,-1.819857
2,-1.589902,-1.819857
2,-1.589276,-1.819104
2,-1.589276,-1.819104
2,-1.589276,-1.819104
2,-1.579244,-1.808026
2,-1.579244,-1.808026
2,-1.579244,-1.808026
2,-1.586786,-1.815926
2,-1.586786,-1.815926
2,-1.586786,-1.815926
2,-1.589333,-1.818997
2,-1.589333,-1.818997
2,-1.589333,-1.818997
2,-1.581462,-1.810127
2,-1.581462,-1.810127
2,-1.581462,-1.810127
2,-1.582177,-1.811007
2,-1.582177,-1.811007
2,-1.582177,-1.811007
2,-1.583838,-1.812624
2,-1.583838,-1.812624
2,-1.583838,-1.812624
2,-1.568584,-1.796051
2,-1.568584,-1.796051
2,-1.568584,-1.796051
2,-1.587539,-1.817187
2,-1.587539,-1.817187
2,-1.587539,-1.817187
2,-1.585893,-1.815481
2,-1.585893,-1.815481
2,-1.585893,-1.815481
2,-1.586578,-1.815774
2,-1.586578,-1.815774
2,-1.586578,-1.815774
2,-1.579945,-1.808936
2,-1.579945,-1.808936
2,-1.579945,-1.808936
2,-1.58305,-1.812331
2,-1.58305,-1.812331
2,-1.58305,-1.812331
2,-1.579172,-1.807878
2,-1.579172,-1.807878
2,-1.579172,-1.807878
2,-1.580186,-1.80907
2,-1.580186,-1.80907
2,-1.580186,-1.80907
2,-1.582177,-1.811007
2,-1.582177,-1.811007
2,-1.582177,-1.811007
2,-1.584151,-1.813513
2,-1.584151,-1.813513
2,-1.584151,-1.813513
2,-1.586248,-1.815542
2,-1.586248,-1.815542
2,-1.586248,-1.815542
2,-1.580086,-1.809604
2,-1.580086,-1.809604
2,-1.580086,-1.809604
2,-1.579794,-1.808983
2,-1.579794,-1.808983
2,-1.579794,-1.808983
2,-1.583784,-1.813522
2,-1.583784,-1.813522
2,-1.583784,-1.813522
2,-1.580748,-1.809425
2,-1.580748,-1.809425
2,-1.580748,-1.809425
2,-1.583391,-1.812759
2,-1.583391,-1.812759
2,-1.583391,-1.812759
2,-1.58332,-1.813214
2,-1.58332,-1.813214
2,-1.58332,-1.813214
2,-1.581153,-1.809804
