Robot,X,Y
5,-0.788101,-1.309498
5,-0.788101,-1.309498
5,-0.788101,-1.309498
5,-0.786855,-1.307626
5,-0.786855,-1.307626
5,-0.786855,-1.307626
5,-0.786855,-1.307626
5,-0.785022,-1.30467
5,-0.785022,-1.30467
5,-0.785022,-1.30467
5,-0.787922,-1.309144
5,-0.787922,-1.309144
5,-0.787922,-1.309144
5,-0.783999,-1.30311
5,-0.783999,-1.30311
5,-0.783999,-1.30311
5,-0.785245,-1.305053
5,-0.785245,-1.305053
5,-0.785245,-1.305053
5,-0.783908,-1.302619
5,-0.783908,-1.302619
5,-0.783908,-1.302619
5,-0.782664,-1.300726
5,-0.782664,-1.300726
5,-0.782664,-1.300726
5,-0.785318,-1.305152
5,-0.785318,-1.305152
5,-0.785318,-1.305152
5,-0.786442,-1.307165
5,-0.786442,-1.307165
5,-0.786442,-1.307165
5,-0.786857,-1.307615
5,-0.786857,-1.307615
5,-0.786857,-1.307615
5,-0.783857,-1.302833
5,-0.783857,-1.302833
5,-0.783857,-1.302833
5,-0.78795,-1.309555
5,-0.78795,-1.309555
5,-0.78795,-1.309555
5,-0.787905,-1.30942
5,-0.787905,-1.30942
5,-0.787905,-1.30942
5,-0.784054,-1.303217
5,-0.784054,-1.303217
5,-0.784054,-1.303217
5,-0.786397,-1.30707
5,-0.786397,-1.30707
5,-0.786397,-1.30707
5,-0.785162,-1.304857
5,-0.785162,-1.304857
5,-0.785162,-1.304857
5,-0.785281,-1.305069
5,-0.785281,-1.305069
5,-0.785281,-1.305069
5,-0.788005,-1.309321
5,-0.788005,-1.309321
5,-0.788005,-1.309321
5,-0.785071,-1.304779
5,-0.785071,-1.304779
5,-0.785071,-1.304779
5,-0.787605,-1.308958
5,-0.787605,-1.308958
5,-0.787605,-1.308958
5,-0.785318,-1.30515
5,-0.787905,-1.30942
5,-0.787905,-1.30942
5,-0.786437,-1.306853
5,-0.786437,-1.306853
5,-0.786437,-1.306853
5,-0.79396,-1.24024
5,-0.830533,-1.236887
5,-0.830533,-1.236887
5,-0.830533,-1.236887
5,-1.028053,-1.313088
5,-1.028053,-1.313088
5,-1.028053,-1.313088
5,-1.2289,-1.378008
5,-1.315399,-1.410393
5,-1.315399,-1.410393
5,-1.315399,-1.410393
5,-1.51985,-1.428879
5,-1.51985,-1.428879
5,-1.51985,-1.428879
5,-1.757272,-1.424597
5,-1.947435,-1.417654
5,-1.947435,-1.417654
5,-2.034406,-1.423871
5,-2.034406,-1.423871
5,-2.034406,-1.423871
5,-1.9832,-1.524803
5,-1.9832,-1.524803
5,-1.863992,-1.464632
5,-1.863992,-1.464632
5,-1.45465,-1.424979
5,-1.45465,-1.424979
5,-1.347666,-1.545052
5,-1.347666,-1.545052
5,-1.347666,-1.545052
5,-1.335537,-1.787339
5,-1.335537,-1.787339
5,-1.335537,-1.787339
5,-1.335537,-1.787339
5,-1.335537,-1.787339
5,-1.503541,-1.969417
5,-1.503541,-1.969417
5,-1.49942,-1.964134
5,-1.49942,-1.964134
5,-1.49942,-1.964134
5,-1.501717,-1.966871
5,-1.501717,-1.966871
5,-1.497575,-1.961721
5,-1.497575,-1.961721
5,-1.506499,-1.97355
5,-1.506499,-1.97355
5,-1.500607,-1.965612
5,-1.500607,-1.965612
5,-1.502204,-1.967777
5,-1.502204,-1.967777
5,-1.502204,-1.967777
5,-1.502714,-1.968291
5,-1.502714,-1.968291
5,-1.502952,-1.968527
5,-1.502952,-1.968527
5,-1.504536,-1.970675
5,-1.504536,-1.970675
5,-1.493306,-1.956179
5,-1.493306,-1.956179
5,-1.493306,-1.956179
5,-1.501274,-1.966561
5,-1.501274,-1.966561
5,-1.501274,-1.966561
5,-1.501274,-1.966561
5,-1.499498,-1.964311
5,-1.499498,-1.964311
5,-1.499498,-1.964311
5,-1.499498,-1.964311
5,-1.499498,-1.964311
5,-1.509532,-1.97741
5,-1.509532,-1.97741
5,-1.509532,-1.97741
5,-1.509532,-1.97741
5,-1.499937,-1.96466
5,-1.499937,-1.96466
5,-1.499937,-1.96466
5,-1.503191,-1.969144
5,-1.503191,-1.969144
5,-1.503191,-1.969144
5,-1.501357,-1.966744
5,-1.501357,-1.966744
5,-1.499342,-1.963848
5,-1.499342,-1.963848
5,-1.499342,-1.963848
5,-1.500743,-1.965529
5,-1.500743,-1.965529
5,-1.500743,-1.965529
5,-1.499937,-1.96466
5,-1.499937,-1.96466
5,-1.499937,-1.96466
5,-1.499937,-1.96466
5,-1.499937,-1.96466
5,-1.503215,-1.968722
5,-1.503215,-1.968722
5,-1.503215,-1.968722
5,-1.500861,-1.965868
5,-1.500861,-1.965868
5,-1.500861,-1.965868
5,-1.499384,-1.96398
5,-1.499384,-1.96398
5,-1.499384,-1.96398
5,-1.506956,-1.973892
5,-1.506956,-1.973892
5,-1.506956,-1.973892
5,-1.502952,-1.968527
5,-1.502952,-1.968527
5,-1.502952,-1.968527
5,-1.499937,-1.96466
5,-1.499937,-1.96466
5,-1.502776,-1.968123
5,-1.502776,-1.968123
5,-1.502776,-1.968123
5,-1.502596,-1.968195
5,-1.502596,-1.968195
5,-1.502596,-1.968195
5,-1.495457,-1.959026
5,-1.495457,-1.959026
5,-1.495457,-1.959026
5,-1.502952,-1.968527
5,-1.502952,-1.968527
5,-1.502952,-1.968527
5,-1.502714,-1.968291
5,-1.502714,-1.968291
5,-1.502952,-1.968527
5,-1.502952,-1.968527
5,-1.502952,-1.968527
5,-1.496001,-1.959586
5,-1.496001,-1.959586
5,-1.496001,-1.959586
5,-1.502952,-1.968527
2,-1.663343,-1.945113
2,-1.663343,-1.945113
2,-1.663343,-1.945113
2,-1.663343,-1.945113
2,-1.676344,-1.960088
2,-1.676344,-1.960088
2,-1.676344,-1.960088
2,-1.668294,-1.950936
2,-1.668294,-1.950936
2,-1.668294,-1.950936
2,-1.670129,-1.953077
2,-1.670129,-1.953077
2,-1.670129,-1.953077
2,-1.669647,-1.952249
2,-1.669647,-1.952249
2,-1.669647,-1.952249
2,-1.665344,-1.947407
2,-1.665344,-1.947407
2,-1.665344,-1.947407
2,-1.66531,-1.947629
2,-1.66531,-1.947629
2,-1.66531,-1.947629
2,-1.664459,-1.946226
2,-1.664459,-1.946226
2,-1.664459,-1.946226
2,-1.666589,-1.949222
2,-1.666589,-1.949222
2,-1.666589,-1.949222
2,-1.667862,-1.950522
2,-1.667862,-1.950522
2,-1.667862,-1.950522
2,-1.670203,-1.953183
2,-1.670203,-1.953183
2,-1.670203,-1.953183
2,-1.66486,-1.947075
2,-1.66486,-1.947075
2,-1.66486,-1.947075
2,-1.665478,-1.947764
2,-1.665478,-1.947764
2,-1.665478,-1.947764
2,-1.662637,-1.94435
2,-1.662637,-1.94435
2,-1.662637,-1.94435
2,-1.675821,-1.959592
2,-1.675821,-1.959592
2,-1.675821,-1.959592
2,-1.673763,-1.957111
2,-1.673763,-1.957111
2,-1.673763,-1.957111
2,-1.675378,-1.958687
2,-1.675378,-1.958687
2,-1.675378,-1.958687
2,-1.670129,-1.953077
