1778505691.171341,219.29,43.04,2.813,219.29,43.04,2.813,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.47,103.65,0.0,5.0
1778505691.2717357,219.29,43.04,2.813,219.29,43.04,2.813,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.47,103.65,0.0,5.0
1778505691.3720908,219.29,43.03,2.809,219.29,43.03,2.809,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.46,103.66,0.0,5.0
1778505691.4723868,219.29,43.03,2.809,219.29,43.03,2.809,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.46,103.66,0.0,5.0
1778505691.5727663,219.29,43.03,2.809,219.29,43.03,2.809,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.46,103.66,0.0,5.0
1778505691.6731224,219.29,43.03,2.809,219.29,43.03,2.809,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.46,103.66,0.0,5.0
1778505691.773488,219.29,43.02,2.813,219.29,43.02,2.813,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.45,103.67,0.0,5.0
1778505691.8738117,219.29,43.02,2.813,219.29,43.02,2.813,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.45,103.67,0.0,5.0
1778505691.9740884,219.29,43.02,2.813,219.29,43.02,2.813,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.45,103.67,0.0,5.0
1778505692.0744166,219.29,43.02,2.813,219.29,43.02,2.813,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.45,103.67,0.0,5.0
1778505692.1747637,219.28,43.03,2.811,219.28,43.03,2.811,VISION,3.43,389.75,-5.43,146.69,215.85,170.47,48.46,103.66,0.0,5.0
1778505692.2750976,219.28,43.03,2.811,219.28,43.03,2.811,VISION,3.43,389.75,-5.43,146.69,215.85,170.47,48.46,103.66,0.0,5.0
1778505692.3755646,219.28,43.03,2.811,219.28,43.03,2.811,VISION,3.43,389.75,-5.43,146.69,215.85,170.47,48.46,103.66,0.0,5.0
1778505692.475971,219.28,43.03,2.811,219.28,43.03,2.811,VISION,3.43,389.75,-5.43,146.69,215.85,170.47,48.46,103.66,0.0,5.0
1778505692.5762978,219.28,43.03,2.811,219.28,43.03,2.811,VISION,3.43,389.75,-5.43,146.69,215.85,170.47,48.46,103.66,0.0,5.0
1778505692.6767874,219.28,43.03,2.811,219.28,43.03,2.811,VISION,3.43,389.75,-5.43,146.69,215.85,170.47,48.46,103.66,0.0,5.0
1778505692.7771447,219.28,43.03,2.811,219.28,43.03,2.811,VISION,3.43,389.75,-5.43,146.69,215.85,170.47,48.46,103.66,0.0,5.0
1778505692.8774595,219.29,43.03,2.814,219.29,43.03,2.814,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.46,103.66,0.0,5.0
1778505692.9778671,219.29,43.03,2.814,219.29,43.03,2.814,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.46,103.66,0.0,5.0
1778505693.078153,219.29,43.03,2.814,219.29,43.03,2.814,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.46,103.66,0.0,5.0
1778505693.1786788,219.29,43.03,2.814,219.29,43.03,2.814,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.46,103.66,0.0,5.0
1778505693.2790473,219.29,43.03,2.811,219.29,43.03,2.811,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.46,103.66,0.0,5.0
1778505693.3793633,219.29,43.03,2.811,219.29,43.03,2.811,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.46,103.66,0.0,5.0
1778505693.4796598,219.29,43.03,2.811,219.29,43.03,2.811,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.46,103.66,0.0,5.0
1778505693.5801098,219.29,43.03,2.811,219.29,43.03,2.811,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.46,103.66,0.0,5.0
1778505693.6804357,219.29,43.03,2.811,219.29,43.03,2.811,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.46,103.66,0.0,5.0
1778505693.780834,219.29,43.03,2.811,219.29,43.03,2.811,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.46,103.66,0.0,5.0
1778505693.881179,219.29,43.03,2.811,219.29,43.03,2.811,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.46,103.66,0.0,5.0
1778505693.98152,219.29,43.03,2.811,219.29,43.03,2.811,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.46,103.66,0.0,5.0
1778505694.0818574,219.28,43.02,2.813,219.28,43.02,2.813,VISION,3.43,389.75,-5.43,146.69,215.85,170.47,48.45,103.67,0.0,5.0
1778505694.1821973,219.28,43.02,2.813,219.28,43.02,2.813,VISION,3.43,389.75,-5.43,146.69,215.85,170.47,48.45,103.67,0.0,5.0
1778505694.2826161,219.28,43.02,2.813,219.28,43.02,2.813,VISION,3.43,389.75,-5.43,146.69,215.85,170.47,48.45,103.67,0.0,5.0
1778505694.3828478,219.28,43.02,2.813,219.28,43.02,2.813,VISION,3.43,389.75,-5.43,146.69,215.85,170.47,48.45,103.67,0.0,5.0
1778505694.483177,219.3,43.03,2.81,219.3,43.03,2.81,VISION,3.43,389.75,-5.43,146.69,215.87,170.45,48.46,103.66,0.0,5.0
1778505694.5834734,219.3,43.03,2.81,219.3,43.03,2.81,VISION,3.43,389.75,-5.43,146.69,215.87,170.45,48.46,103.66,0.0,5.0
1778505694.6838086,219.3,43.03,2.81,219.3,43.03,2.81,VISION,3.43,389.75,-5.43,146.69,215.87,170.45,48.46,103.66,0.0,5.0
1778505694.7841995,219.3,43.03,2.81,219.3,43.03,2.81,VISION,3.43,389.75,-5.43,146.69,215.87,170.45,48.46,103.66,0.0,5.0
1778505694.8846262,219.29,43.04,2.812,219.29,43.04,2.812,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.47,103.65,0.0,5.0
1778505694.9849286,219.29,43.04,2.812,219.29,43.04,2.812,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.47,103.65,0.0,5.0
1778505695.0851958,219.29,43.04,2.812,219.29,43.04,2.812,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.47,103.65,0.0,5.0
1778505695.185539,219.29,43.04,2.812,219.29,43.04,2.812,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.47,103.65,0.0,5.0
1778505695.2859874,219.3,43.02,2.815,219.3,43.02,2.815,VISION,3.43,389.75,-5.43,146.69,215.87,170.45,48.45,103.67,0.0,5.0
1778505695.3863766,219.3,43.02,2.815,219.3,43.02,2.815,VISION,3.43,389.75,-5.43,146.69,215.87,170.45,48.45,103.67,0.0,5.0
1778505695.4867337,219.3,43.02,2.815,219.3,43.02,2.815,VISION,3.43,389.75,-5.43,146.69,215.87,170.45,48.45,103.67,0.0,5.0
1778505695.5870988,219.29,43.03,2.812,219.29,43.03,2.812,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.46,103.66,0.0,5.0
1778505695.6874774,219.29,43.03,2.812,219.29,43.03,2.812,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.46,103.66,0.0,5.0
1778505695.7879028,219.29,43.03,2.812,219.29,43.03,2.812,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.46,103.66,0.0,5.0
1778505695.8882492,219.29,43.03,2.812,219.29,43.03,2.812,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.46,103.66,0.0,5.0
1778505695.9886408,219.28,43.04,2.809,219.28,43.04,2.809,VISION,3.43,389.75,-5.43,146.69,215.85,170.47,48.47,103.65,0.0,5.0
1778505696.0889788,219.28,43.04,2.809,219.28,43.04,2.809,VISION,3.43,389.75,-5.43,146.69,215.85,170.47,48.47,103.65,0.0,5.0
1778505696.189386,219.28,43.04,2.809,219.28,43.04,2.809,VISION,3.43,389.75,-5.43,146.69,215.85,170.47,48.47,103.65,0.0,5.0
1778505696.289743,219.28,43.04,2.809,219.28,43.04,2.809,VISION,3.43,389.75,-5.43,146.69,215.85,170.47,48.47,103.65,0.0,5.0
1778505696.3900807,219.29,43.04,2.809,219.29,43.04,2.809,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.47,103.65,0.0,5.0
1778505696.4903963,219.29,43.04,2.809,219.29,43.04,2.809,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.47,103.65,0.0,5.0
1778505696.5908327,219.29,43.04,2.809,219.29,43.04,2.809,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.47,103.65,0.0,5.0
1778505696.6911597,219.29,43.04,2.809,219.29,43.04,2.809,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.47,103.65,0.0,5.0
1778505696.7915275,219.29,43.02,2.812,219.29,43.02,2.812,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.45,103.67,0.0,5.0
1778505696.8920536,219.29,43.02,2.812,219.29,43.02,2.812,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.45,103.67,0.0,5.0
1778505696.9923594,219.29,43.02,2.812,219.29,43.02,2.812,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.45,103.67,0.0,5.0
1778505697.092685,219.29,43.02,2.812,219.29,43.02,2.812,VISION,3.43,389.75,-5.43,146.69,215.86,170.46,48.45,103.67,0.0,5.0
1778505697.193012,219.28,43.02,2.812,219.28,43.02,2.812,VISION,3.43,389.75,-5.43,146.69,215.85,170.47,48.45,103.67,0.0,5.0
1778505697.2933753,219.28,43.02,2.812,219.28,43.02,2.812,VISION,3.43,389.75,-5.43,146.69,215.85,170.47,48.45,103.67,0.0,5.0
1778505697.3937871,219.28,43.02,2.812,219.28,43.02,2.812,VISION,3.43,389.75,-5.43,146.69,215.85,170.47,48.45,103.67,0.0,5.0
1778505697.494177,219.28,43.02,2.812,219.28,43.02,2.812,VISION,3.43,389.75,-5.43,146.69,215.85,170.47,48.45,103.67,0.0,5.0
1778505697.5944643,219.28,43.02,2.813,219.28,43.02,2.813,VISION,3.43,389.75,-5.43,146.69,215.85,170.47,48.45,103.67,0.0,5.0
